"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","same_household","included_transmission",0.005432
"within-host","different_household",NA,0.004848
"within-host","different_household",NA,0.004799
"within-host","different_household",NA,0.00433
"within-host","different_household",NA,0.004353
"within-host","different_household",NA,0.005368
"within-host","different_household",NA,0.005104
"within-host","different_household",NA,0.005204
"within-host","different_household",NA,0.004801
"within-host","same_household","included_transmission",0.007581
"within-host","different_household",NA,0.005048
"within-host","different_household",NA,0.00479
"within-host","same_household","included_transmission",0.004858
"within-host","different_household",NA,0.005805
"within-host","different_household",NA,0.005049
"within-host","different_household",NA,0.004925
"within-host","different_household",NA,0.005254
"within-host","same_household","included_transmission",0.004808
"within-host","different_household",NA,0.006163
"within-host","different_household",NA,0.004584
"within-host","different_household",NA,0.00493
"within-host","different_household",NA,0.004816
"within-host","same_household","included_transmission",0.005567
"within-host","same_household","included_transmission",0.004994
"within-host","same_household","included_transmission",0.005038
"within-host","different_household",NA,0.004714
"within-host","different_household",NA,0.005231
"within-host","same_household","included_transmission",0.004961
"within-host","same_household","included_transmission",0.004793
"within-host","different_household",NA,0.00497
"within-host","different_household",NA,0.004835
"within-host","same_household","included_transmission",0.00475
"within-host","same_household","included_transmission",0.007285
"within-host","same_household","included_transmission",0.004795
"within-host","different_household",NA,0.005024
"within-host","different_household",NA,0.004477
"within-host","different_household",NA,0.005316
"within-host","different_household",NA,0.004423
"within-host","same_household","included_transmission",0.00461
"within-host","same_household","included_transmission",0.00493
"within-host","different_household",NA,0.004726
"within-host","different_household",NA,0.003573
"within-host","different_household",NA,0.002243
"within-host","different_household",NA,0.00271
"within-host","same_household","included_transmission",0.001903
"within-host","same_household","included_transmission",0.001395
"within-host","different_household",NA,0.001903
"within-host","different_household",NA,0.00202
"within-host","different_household",NA,0.001687
"within-host","same_household","included_transmission",0.002193
"within-host","different_household",NA,0.001851
"within-host","different_household",NA,0.002131
"within-host","different_household",NA,0.001818
"within-host","different_household",NA,0.001771
"within-host","different_household",NA,0.00204
"within-host","different_household",NA,0.001982
"within-host","same_household","included_transmission",0.001581
"within-host","different_household",NA,0.001485
"within-host","different_household",NA,0.002388
"within-host","different_household",NA,0.00242
"within-host","different_household",NA,0.001829
"within-host","different_household",NA,0.001768
"within-host","different_household",NA,0.001706
